word	rank	source_rank	zipf	score
артура	14540	14833	3.79	0.398571
влксм	14550	14843	3.79	0.398571
вьетнаме	14566	14859	3.79	0.398571
гродно	14574	14867	3.79	0.398571
евросоюза	14592	14885	3.79	0.398571
ираном	14620	14913	3.79	0.398571
киеву	14628	14921	3.79	0.398571
маяковского	14652	14945	3.79	0.398571
морозова	14659	14952	3.79	0.398571
мурманск	14661	14954	3.79	0.398571
николаевна	14674	14967	3.79	0.398571
пекин	14690	14983	3.79	0.398571
праге	14724	15018	3.79	0.398571
роберто	14755	15049	3.79	0.398571
тайлер	14783	15078	3.79	0.398571
ташкенте	14785	15080	3.79	0.398571
фишер	14805	15100	3.79	0.398571
химки	14808	15103	3.79	0.398571
алматы	14821	15122	3.78	0.397143
данте	14857	15158	3.78	0.397143
ивану	14876	15177	3.78	0.397143
кристофер	14898	15199	3.78	0.397143
луиса	14904	15205	3.78	0.397143
ромео	15011	15312	3.78	0.397143
сербия	15019	15320	3.78	0.397143
сирию	15023	15324	3.78	0.397143
стамбуле	15039	15340	3.78	0.397143
франс	15081	15382	3.78	0.397143
фрунзе	15083	15384	3.78	0.397143
японией	15109	15410	3.78	0.397143
алтая	15114	15418	3.77	0.395714
брюсселе	15127	15432	3.77	0.395714
джереми	15164	15469	3.77	0.395714
дэнни	15173	15478	3.77	0.395714
жириновский	15179	15484	3.77	0.395714
зеландии	15189	15494	3.77	0.395714
микки	15226	15532	3.77	0.395714
михаилом	15228	15534	3.77	0.395714
монро	15231	15537	3.77	0.395714
натальи	15239	15545	3.77	0.395714
немецко	15244	15550	3.77	0.395714
николаем	15247	15553	3.77	0.395714
саймон	15336	15644	3.77	0.395714
соколова	15362	15670	3.77	0.395714
таджикистана	15380	15688	3.77	0.395714
удмуртии	15398	15706	3.77	0.395714
украинское	15401	15709	3.77	0.395714
феррари	15406	15714	3.77	0.395714
андреевич	15423	15736	3.76	0.394286
арктике	15427	15740	3.76	0.394286
волкова	15447	15760	3.76	0.394286
габриэль	15455	15768	3.76	0.394286
григорьев	15466	15779	3.76	0.394286
